,sample_id,grn_n,grn_mean,grn_sd,red_n,red_mean,red_sd
52,10600510,15,594,256,15,16980,2224
55,10601311,11,10249,830,11,4047,962
62,10601338,11,1157,244,11,14420,2129
70,10601373,7,1757,611,7,30202,5192
80,10601439,13,1438,442,13,27013,2146
86,10601465,9,2408,397,9,29066,1284
101,10602332,19,4709,581,19,1281,473
102,10602336,20,383,199,20,943,582
103,10602345,11,8965,876,11,2799,990
113,10602420,23,462,341,23,2011,822
118,10602429,14,12211,1814,14,2597,615
127,10602478,19,250,184,19,827,500
142,10603347,17,774,216,17,19652,1612
147,10603374,10,703,233,10,18180,1929
171,10603471,14,8386,1210,14,24444,2350
183,10603504,10,13353,1454,10,14120,1141
184,10603505,12,13609,1273,12,2979,604
234,10605324,16,10948,870,16,3190,1004
250,10605381,9,2036,577,9,25113,1911
265,10605480,10,362,212,10,719,762
275,10606324,16,1523,472,16,23053,2217
284,10606362,8,14747,659,8,1871,735
285,10606363,10,4175,308,10,515,280
297,10606450,12,3011,730,12,27152,2136
303,10606459,6,259,139,6,536,494
310,10607300,4,13886,1699,4,2412,184
312,10607317,10,19019,2445,10,2899,1038
313,10607318,12,5403,694,12,3204,1247
317,10607335,19,249,213,19,1181,772
319,10607340,11,538,279,11,4714,421
322,10607344,6,3754,945,6,2904,1287
342,10607438,8,4462,741,8,776,509
354,10608302,6,726,112,6,12791,1210
384,10608450,14,1201,386,14,24560,2677
395,10608480,6,415,83,6,7314,1731
419,10609419,8,1206,354,8,2943,221
430,10609464,15,14382,1372,15,2452,650
446,10610322,12,8993,783,12,3564,750
449,10610331,6,629,408,6,6491,1952
458,10610378,5,812,525,5,23240,506
508,10611402,8,4208,697,8,593,293
529,10611468,17,260,166,17,9459,1303
531,10611473,11,6312,770,11,1809,767
532,10611478,13,12662,1199,13,16044,2422
534,10611483,9,206,195,9,2216,264
545,10612352,19,7435,1119,19,1351,957
547,10612364,8,375,270,8,2179,298
577,10612491,13,13665,1076,13,1891,543
584,10613304,10,4478,647,10,1388,779
595,10613339,7,8985,1197,7,10390,963
599,10613344,16,4671,699,16,930,489
614,10613459,9,2591,598,9,22072,1114
618,10613467,13,672,299,13,10080,1226
621,10613487,16,299,209,16,1062,406
627,10614303,10,4423,483,10,6461,1158
629,10614306,9,1058,549,9,6599,1653
641,10614354,8,11791,1200,8,2627,200
664,10614480,18,8619,904,18,10205,786
671,10615310,9,20147,1450,9,10804,664
673,10615314,14,17040,1256,14,1903,473
679,10615327,13,8930,1154,13,1736,671
684,10615343,16,11386,2001,16,11575,2360
704,10615439,10,15056,2285,10,1789,858
713,10615470,12,580,274,12,1747,465
714,10615485,15,1657,357,15,27355,2761
733,10616409,12,4210,601,12,960,467
734,10616411,12,6745,697,12,1577,364
747,10616434,16,11463,560,16,2398,621
766,10616510,11,16297,1719,11,3122,1014
770,10617308,11,549,266,11,7417,1159
788,10617386,14,1102,294,14,14788,2128
838,10618391,13,4385,744,13,23529,2129
845,10618449,16,169,136,16,681,454
850,10618467,7,12081,302,7,1957,768
855,10618500,8,235,179,8,1221,594
859,10619316,6,14245,1629,6,4848,841
874,10619411,8,9323,878,8,887,287
881,10619425,14,1639,421,14,24930,2268
933,10620454,14,2249,570,14,35488,2044
938,10620486,10,3482,380,10,529,287
953,10621337,4,1464,131,4,6268,1888
962,10621377,14,248,135,14,583,441
965,10621382,16,1533,458,16,17285,1650
971,10621397,11,5213,961,11,732,485
986,10622300,13,675,189,13,5476,1394
1015,10622384,16,6366,574,16,712,420
1031,10622467,10,1231,483,10,19652,3612
1065,10623386,18,517,291,18,7014,1067
1080,10623472,7,214,215,7,657,566
1086,10624304,14,6403,857,14,3265,865
1107,10624372,18,1780,499,18,1838,700
1145,10625339,15,8598,1545,15,1684,747
1159,10625389,9,719,389,9,6472,1738
1164,10625399,5,3130,859,5,739,356
1168,10625458,13,8966,1005,13,3780,1289
1176,10625507,19,856,326,19,27837,2184
1180,10626312,9,5001,656,9,1783,586
1194,10626363,14,333,162,14,2202,732
1197,10626376,14,5179,696,14,3578,749
1198,10626380,15,3197,454,15,28522,2096
1284,10628440,12,4992,617,12,11274,2351
1296,10628493,11,14866,1513,11,18198,1380
1309,10629332,11,387,302,11,1053,357
1311,10629345,16,3486,705,16,17159,2632
1313,10629365,17,9999,1031,17,1704,695
1318,10629406,13,1446,380,13,1075,660
1322,10629416,4,1712,689,4,23398,1550
1327,10629423,7,3391,270,7,10389,1353
1337,10629448,12,13227,1868,12,1540,786
1343,10629479,15,20681,1817,15,2471,1067
1348,10629498,17,564,272,17,1470,832
1354,10630303,11,422,235,11,4171,862
1359,10630318,17,9132,803,17,1239,659
1361,10630324,12,476,197,12,1726,675
1365,10630334,18,2446,380,18,27795,2606
1377,10630382,7,14892,900,7,3190,496
1383,10630394,21,12101,1003,21,1697,759
1395,10630463,7,14655,1347,7,4379,838
1410,10631331,7,219,123,7,8139,894
1418,10631406,10,7060,1221,10,1767,789
1449,10631508,14,408,128,14,2270,531
1451,10632309,11,10316,1100,11,1381,526
1455,10632328,19,1017,320,19,13452,1374
1469,10632419,13,2481,520,13,2193,465
1471,10632421,17,2488,521,17,23407,2559
1524,10633396,14,268,156,14,886,451
1565,10634362,8,15210,1145,8,4760,348
1568,10634382,8,18769,1158,8,5027,1026
1571,10634390,14,1268,420,14,23601,2114
1593,10634509,15,1848,540,15,12852,1575
1598,10635310,17,7581,1074,17,2275,424
1603,10635333,9,11313,1005,9,8089,782
1604,10635334,14,11028,1133,14,2506,716
1605,10635339,10,7891,833,10,23040,2055
1612,10635372,9,20094,1739,9,2319,804
1614,10635376,9,1592,503,9,1926,327
1616,10635381,12,1550,410,12,630,466
1619,10635387,20,1213,494,20,20793,3289
1624,10635398,17,583,333,17,10736,2200
1637,10635462,16,11454,915,16,3720,915
1643,10635485,13,869,412,13,19204,2634
1662,10636344,15,15160,2376,15,16218,3147
1688,10636460,9,14787,914,9,2564,353
1692,10636469,15,2337,385,15,26098,2851
1722,10637393,14,942,289,14,2750,526
1723,10637394,12,259,214,12,358,218
1729,10637459,17,2353,402,17,1949,398
1734,10637472,14,10144,885,14,1258,686
1747,10638331,11,13178,627,11,1400,734
1770,10638436,10,1157,314,10,12168,2061
1808,10639391,19,1123,396,19,4587,1047
1824,10639470,12,16766,928,12,10665,1074
1842,10640319,12,1635,543,12,22828,1107
1846,10640335,9,1519,427,9,19963,996
1859,10640375,16,490,244,16,1119,631
1882,10640485,21,7645,1545,21,2068,756
1889,10641320,13,12020,851,13,4300,701
1902,10641376,16,544,317,16,4686,1352
1903,10641377,13,444,271,13,2379,667
1932,10642317,11,5225,586,11,1092,599
1965,10642509,9,3137,884,9,704,438
1968,10643460,5,2238,61,5,9978,1445
1969,10643465,11,6583,829,11,1128,629
1970,10643503,8,215,145,8,1112,702
1977,10644318,14,697,247,14,3004,788
1978,10644319,11,13234,1391,11,2858,861
1989,10644348,13,477,271,13,7815,1075
1999,10644391,9,301,166,9,4208,813
2015,10644495,10,4194,762,10,15842,1596
2017,10645310,11,15912,989,11,7227,1274
2023,10645335,10,765,112,10,19986,768
2025,10645341,21,14587,1492,21,4912,986
2043,10645444,9,6469,899,9,1345,312
2049,10645485,13,18032,1382,13,3336,766
2066,10646348,7,666,436,7,4981,590
2076,10646384,16,1861,522,16,30146,2922
2078,10646387,22,11907,1134,22,5244,999
2086,10646438,11,1916,494,11,15468,1505
2098,10646492,10,475,158,10,505,262
2121,10647377,12,13404,1322,12,2492,841
2131,10647394,5,1650,486,5,19650,1706
2133,10647437,12,329,193,12,6798,1151
2136,10647460,8,8274,459,8,3583,1175
2166,10648356,13,1140,294,13,21873,2819
2174,10648381,18,1113,360,18,18319,1994
2186,10648450,25,287,143,25,735,337
2188,10648456,15,9728,857,15,10344,1471
2192,10648472,11,822,189,11,22033,2095
2196,10648495,18,1268,252,18,24307,2356
2203,10649310,11,19763,1629,11,8770,1968
2223,10649382,14,343,192,14,864,600
2226,10649389,17,1334,360,17,4216,899
2227,10649394,15,13756,1095,15,1634,695
2229,10649398,12,110,104,12,449,303
2240,10649485,7,5687,232,7,808,448
2245,10650306,11,665,162,11,11981,345
2248,10650319,15,9170,835,15,1521,542
2249,10650324,14,1161,388,14,10755,1051
2259,10650359,9,1996,392,9,14461,1532
2272,10650394,12,7870,1520,12,1687,256
2283,10650462,14,573,251,14,5457,1094
2286,10650492,7,9418,1331,7,680,506
2289,10650509,10,2601,513,10,33019,1844
2291,10651313,15,3754,570,15,1768,684
2302,10651400,11,417,246,11,998,365
2312,10651423,21,561,273,21,868,314
2313,10651424,11,368,119,11,5742,1587
2316,10651430,17,8417,1021,17,2510,910
2317,10651431,16,777,365,16,642,443
2319,10651434,13,2197,568,13,26489,2703
2335,10651491,16,19865,1464,16,9288,1118
2352,10652374,9,1603,212,9,20978,1952
2356,10652405,19,1469,404,19,25835,1878
2358,10652408,5,305,238,5,1169,178
2376,10652457,6,977,132,6,23919,1832
2378,10652476,10,515,153,10,15323,1266
2379,10652477,7,19709,1827,7,9269,745
2403,10653337,12,16440,1299,12,1281,630
2413,10653384,20,13233,1198,20,2024,710
2432,10653485,15,14300,1277,15,665,429
2438,10654330,11,13618,773,11,6729,1216
2439,10654332,14,753,199,14,2436,782
2440,10654345,30,9012,907,30,12243,1438
2464,10654435,13,9900,850,13,2059,591
2487,10655336,8,1480,110,8,19097,1894
2489,10655364,9,8670,1297,9,2386,602
2490,10655374,21,4411,597,21,12512,1666
2497,10655416,14,641,271,14,9591,1327
2498,10655418,5,3022,283,5,24328,672
2500,10655421,11,8092,783,11,11370,1218
2529,10656345,25,3077,483,25,18237,1956
2535,10656365,6,518,298,6,11791,620
2537,10656402,11,1469,456,11,24404,1973
2543,10656414,12,9408,736,12,436,286
2545,10656419,8,7304,723,8,541,262
2559,10656468,10,10579,537,10,2660,581
2590,10657351,9,284,140,9,278,172
2599,10657392,13,1273,381,13,931,452
2641,10658425,15,621,244,15,22101,1856
2645,10658433,12,1000,299,12,15457,1464
2647,10658442,14,9418,659,14,842,364
2655,10658476,16,1353,300,16,18669,1116
2657,10658478,16,17720,1651,16,3378,654
2659,10658481,7,16345,2435,7,3714,825
2664,10659301,11,354,196,11,6609,1300
2671,10659345,13,443,226,13,677,328
2679,10659374,12,2513,461,12,13568,2094
2685,10659412,11,14183,966,11,2501,597
2686,10659413,16,1986,569,16,20468,2388
2698,10659436,13,219,155,13,1368,614
2702,10659447,9,17765,1532,9,2821,436
2705,10659464,6,502,302,6,8881,608
2710,10659478,17,1635,464,17,22779,2575
2713,10659482,13,332,184,13,1414,395
2718,10659510,12,2474,439,12,379,238
2813,10662330,15,774,225,15,5718,934
2817,10662353,10,4208,518,10,21728,1894
2826,10662403,15,250,177,15,350,294
2853,10662502,12,7663,1071,12,1552,814
2861,10663332,10,12552,1448,10,2102,614
2863,10663345,13,272,186,13,671,410
2876,10663406,7,13490,1883,7,2754,1112
2881,10663417,10,6719,532,10,1274,692
2891,10663435,12,13784,1179,12,2601,980
2919,10664421,10,6530,656,10,617,502
2943,10664510,15,8373,854,15,946,561
2945,10665305,10,935,371,10,22602,2945
2956,10665368,11,1122,254,11,16452,2391
2959,10665401,10,3147,390,10,26003,2456
2965,10665409,10,580,91,10,2065,731
3007,10666338,21,1215,367,21,20601,1783
3038,10666489,13,7537,653,13,15664,1196
3047,10667311,10,2243,369,10,30541,4327
3048,10667312,16,18379,2302,16,3990,1131
3057,10667342,11,794,306,11,15764,1844
3063,10667360,11,15217,1431,11,10769,1133
3065,10667381,10,5271,930,10,1362,825
3070,10667392,19,1635,516,19,4014,1069
3078,10667450,13,22413,1840,13,2391,255
3080,10667454,12,1182,373,12,11393,865
3094,10668332,18,750,354,18,2080,830
3099,10668365,12,1104,535,12,24769,2939
3166,10669372,10,1148,172,10,22539,1927
3171,10669386,14,1074,384,14,30904,2214
3190,10669503,17,4797,630,17,31963,4049
3197,10670315,11,309,209,11,238,153
3211,10670361,8,2119,507,8,3477,877
3227,10670398,13,5876,541,13,1077,313
3238,10670472,14,962,418,14,14520,2105
3242,10670490,13,11999,1229,13,1196,536
3250,10671311,17,6037,632,17,758,277
3262,10671343,14,5879,1025,14,4781,1084
3266,10671355,8,12840,1605,8,2018,911
3269,10671375,11,598,317,11,6544,588
3273,10671387,10,6402,397,10,530,558
3281,10671449,10,555,218,10,11771,2282
3283,10671451,7,1327,491,7,3416,763
3284,10671463,10,696,112,10,1670,531
3288,10671480,14,746,260,14,14125,1833
3289,10671486,14,19086,1728,14,2211,522
3291,10671489,7,3109,322,7,26519,2613
3298,10672310,14,906,307,14,28293,2065
3300,10672315,11,1102,388,11,16728,2849
3310,10672376,8,14863,1629,8,1951,648
3313,10672384,10,1179,305,10,9497,2343
3321,10672439,13,667,317,13,7596,1625
3325,10672456,9,380,169,9,870,662
3338,10672507,9,1881,588,9,18721,1631
3344,10673347,15,721,284,15,14171,1511
3350,10673370,12,17196,1443,12,3613,1145
3351,10673378,8,11827,1348,8,1608,939
3358,10673419,27,13206,1166,27,2392,959
3360,10673421,8,2268,415,8,28395,1412
3366,10673433,14,541,249,14,10563,1295
3389,10674308,11,182,107,11,607,406
3400,10674341,15,176,153,15,684,571
3401,10674344,12,453,346,12,746,412
3405,10674356,15,844,190,15,11475,1706
3413,10674392,13,13393,924,13,13930,1050
3434,10674492,10,7933,479,10,1150,446
3439,10675311,16,2147,607,16,16755,3485
3441,10675320,7,8448,1238,7,1098,363
3451,10675356,8,436,376,8,496,395
3455,10675380,11,229,165,11,347,243
3474,10675470,11,261,125,11,8619,1390
3483,10676306,10,704,246,10,627,214
3502,10676383,13,1551,568,13,17426,1953
3509,10676395,5,1354,155,5,19820,1901
3543,10677335,13,9161,1076,13,1389,506
3548,10677351,17,736,186,17,13465,1347
3565,10677449,10,3857,498,10,2383,590
3569,10677469,11,978,156,11,21529,2864
3578,10678305,9,308,199,9,538,349
3582,10678331,7,4137,337,7,27117,824
3591,10678403,20,9375,740,20,1999,601
3593,10678409,13,1275,254,13,26986,2405
3611,10678482,17,3723,542,17,566,461
3614,10678494,16,14734,1254,16,10584,1223
3625,10679313,12,667,327,12,577,467
3631,10679345,11,1581,415,11,21637,2757
3639,10679400,12,737,442,12,4726,979
3655,10679445,13,4015,729,13,2369,758
3669,10679501,10,8079,953,10,1316,461
3673,10679510,15,8371,1048,15,1685,650
3674,10680302,12,2370,414,12,2128,523
3692,10680362,18,557,323,18,3951,1206
3715,10680465,17,1917,418,17,26902,1888
3734,10681326,18,6383,650,18,1407,672
3738,10681339,16,469,137,16,914,476
3742,10681348,11,284,152,11,896,518
3751,10681380,8,8410,557,8,989,538
3767,10681451,8,443,228,8,7969,467
3797,10682355,17,274,171,17,2734,758
3803,10682372,14,5019,1183,14,734,504
3842,10683326,10,960,209,10,2401,763
3845,10683334,14,7825,698,14,2060,825
3863,10683381,17,17377,2029,17,3858,1114
3867,10683388,11,7854,573,11,1017,537
3874,10683399,12,848,458,12,10408,1763
3896,10684304,11,355,258,11,6365,1039
3909,10684361,21,6962,656,21,915,597
3910,10684375,11,2672,554,11,19553,2203
3914,10684381,10,4353,536,10,674,438
3925,10684459,20,531,300,20,7541,1560
3933,10684492,11,6073,1025,11,26462,2350
3939,10685304,12,3517,631,12,2895,1043
3940,10685307,11,5567,1305,11,7733,865
3941,10685312,21,867,304,21,19604,2338
3964,10685380,9,5033,684,9,759,464
4002,10686341,9,4996,1007,9,3775,823
4010,10686383,10,12413,563,10,2024,708
4019,10686438,18,10652,1095,18,3455,740
4022,10686459,9,349,262,9,8351,1432
4049,10687362,16,15478,1989,16,3481,971
4053,10687377,14,1243,397,14,654,442
4068,10687453,15,6770,813,15,732,487
4070,10687460,11,9417,1386,11,2824,762
4077,10687507,9,1623,461,9,28607,2823
4084,10688311,8,447,253,8,522,244
4101,10688360,14,1457,545,14,30290,4077
4102,10688362,19,6842,740,19,8621,1741
4117,10688396,25,940,301,25,9028,1602
4126,10688467,19,564,268,19,13962,2067
4136,10689308,15,1237,385,15,1969,686
4138,10689311,8,1052,361,8,3984,1019
4151,10689356,9,310,247,9,950,435
4164,10689391,14,14608,1338,14,2370,881
4172,10689439,13,310,149,13,861,348
4177,10689463,7,8801,1452,7,1654,658
4185,10689507,18,3415,811,18,615,285
4223,10690450,15,4283,520,15,6352,959
4235,10690490,5,2493,711,5,16031,2090
4237,10690509,13,10160,905,13,13820,1579
4265,10691453,9,22070,2331,9,7223,1392
4277,10692300,9,328,169,9,2026,907
4294,10692354,11,312,170,11,11009,1563
4303,10692384,11,13574,1933,11,837,377
4304,10692387,18,340,215,18,1015,484
4308,10692397,17,271,159,17,523,422
4320,10692485,14,569,279,14,655,447
4321,10692487,11,24065,2481,11,4427,809
4327,10693312,11,14012,1395,11,12302,2006
4334,10693339,6,20853,1165,6,5175,1164
4352,10693385,13,12765,855,13,6836,595
4357,10693398,9,8206,1140,9,482,185
4358,10693437,9,543,223,9,2757,1013
4371,10693475,18,3352,821,18,618,331
4378,10693507,12,776,331,12,2120,946
4391,10694338,12,4515,721,12,4336,742
4396,10694377,11,10860,1584,11,1799,744
4399,10694386,19,12896,1553,19,2619,809
4413,10694451,8,7444,754,8,8843,937
4437,10695354,9,740,375,9,261,186
4442,10695377,3,588,130,3,10731,192
4469,10695492,12,7858,398,12,2252,406
4471,10695500,19,15063,2075,19,11460,1180
4475,10696303,7,1172,385,7,22037,1824
4484,10696326,14,6713,1301,14,887,640
4491,10696356,12,10754,1130,12,11034,1065
4493,10696360,7,247,124,7,2246,643
4504,10696392,6,2718,535,6,26215,2622
4525,10697326,18,918,406,18,17165,1534
4562,10698303,22,7345,972,22,8185,1553
4563,10698304,10,5729,891,10,9419,1497
4571,10698327,10,597,146,10,868,579
4585,10698362,16,5181,778,16,2612,803
4610,10698469,13,2265,361,13,21789,2126
4634,10699342,11,1214,403,11,14294,2198
4639,10699381,19,2840,769,19,15759,1559
4641,10699383,12,8101,941,12,15727,2212
4645,10699388,11,15387,694,11,2010,592
4649,10699399,13,1500,435,13,19413,1540
4674,10700401,11,2886,715,11,2941,1132
4682,10700425,10,362,158,10,2453,772
4699,10700501,16,17519,1622,16,1081,486
4707,10701350,15,1144,415,15,3836,931
4741,10701482,14,17043,2251,14,2158,824
4744,10701498,3,5381,64,3,34069,3175
4753,10702332,12,17987,1308,12,3071,681
4760,10702378,8,294,154,8,1723,594
4763,10702402,6,8528,618,6,1403,375
4765,10702405,14,5584,819,14,2543,728
4768,10702410,9,5593,638,9,223,114
4785,10702455,13,1089,338,13,25957,2001
4786,10702464,11,5236,569,11,750,270
4788,10702473,14,1453,264,14,21460,1652
4790,10702479,17,17119,1684,17,7094,1337
4796,10702493,7,6406,791,7,6346,335
4797,10702494,15,14014,1520,15,12579,2443
4817,10703374,17,13409,1685,17,1073,492
4824,10703409,18,9635,1061,18,539,301
4828,10703415,10,18013,2195,10,28475,2792
4834,10703426,15,2768,587,15,31596,2771
4835,10703428,12,3704,748,12,724,481
4838,10703442,12,8741,856,12,865,279
4845,10703478,9,13130,1012,9,3381,1075
4848,10703488,21,10287,1165,21,1286,570
4849,10703491,22,19739,1615,22,2588,700
4851,10703496,27,17279,1286,27,8109,1311
4855,10703508,15,5287,708,15,13970,1629
4859,10704336,15,3551,638,15,743,346
4860,10704347,12,7292,775,12,1228,391
4862,10704350,17,1589,397,17,3499,741
4870,10704400,11,400,140,11,765,621
4899,10704471,13,496,229,13,1260,479
4905,10704483,11,244,192,11,541,313
4940,10705471,17,11505,790,17,1218,487
4945,10705494,7,4541,803,7,873,493
4950,10706313,12,1409,354,12,23023,2013
4951,10706328,8,901,403,8,6228,957
4956,10706345,17,6122,517,17,1358,661
4989,10706455,10,4453,795,10,2223,455
5004,10707301,12,17040,1376,12,3480,830
5009,10707322,14,5660,782,14,985,485
5015,10707364,19,486,186,19,3908,835
5017,10707366,15,18569,1536,15,6103,1345
5019,10707374,13,10367,1529,13,2534,858
5021,10707400,11,8953,739,11,1275,647
5029,10707415,18,5944,759,18,1364,622
5033,10707423,11,12680,1290,11,4061,1408
5043,10707471,8,7412,474,8,1171,309
5047,10707482,6,972,170,6,1503,302
5073,10708411,18,1341,373,18,1260,681
5081,10708436,9,119,98,9,384,100
5089,10708468,11,14395,1234,11,2344,778
5118,10709374,16,6931,1022,16,1021,477
5129,10709423,12,6204,1033,12,3235,783
5150,10709497,13,1095,386,13,23861,2751
5164,10710352,15,14203,1142,15,3766,709
5166,10710366,10,149,129,10,698,400
5174,10710415,7,223,150,7,471,240
5175,10710417,11,12745,848,11,19257,2742
5182,10710426,16,15856,1391,16,5027,738
5209,10711321,18,20169,1526,18,1886,844
5216,10711366,18,1754,350,18,17484,2364
5239,10711447,9,517,348,9,4623,1260
5248,10711484,13,7758,647,13,2061,690
5252,10711499,13,2288,535,13,21247,2888
5256,10712305,20,1036,342,20,16250,1765
5257,10712309,14,421,297,14,602,313
5261,10712329,13,6672,736,13,1484,583
5278,10712413,20,15621,1545,20,2915,780
5282,10712421,12,6402,1149,12,14105,992
5292,10712445,19,7593,1024,19,3321,478
5305,10712499,18,11621,1243,18,2867,630
5321,10713378,10,650,179,10,612,394
5349,10713494,15,1013,379,15,5316,1824
5350,10713498,12,285,218,12,432,265
5353,10713504,17,5261,693,17,675,388
5356,10713508,9,1929,433,9,19241,1665
5357,10714305,5,16405,769,5,2298,279
5372,10714417,11,260,153,11,873,445
5373,10714418,9,22608,662,9,9867,1471
5383,10714442,13,15086,1088,13,3433,745
5384,10714445,20,11257,1066,20,16550,1372
5396,10715313,11,1523,379,11,18736,1526
5409,10715400,11,2241,529,11,3532,862
5428,10715443,9,12062,1279,9,2389,467
5436,10715481,10,1494,247,10,22999,713
5463,10716418,6,358,201,6,3988,862
5465,10716424,12,5074,719,12,18935,1167
5470,10716431,9,153,86,9,444,270
5498,10717365,13,7869,1164,13,15017,1967
5501,10717370,9,1639,585,9,21132,1928
5503,10717402,9,2274,827,9,24511,2335
5520,10717435,16,7107,1033,16,890,416
5546,10717510,13,7997,947,13,1054,363
5547,10718301,21,15585,1192,21,5918,1272
5548,10718305,9,727,389,9,11876,1941
5570,10718433,16,18156,1174,16,1837,676
5581,10718491,14,408,220,14,671,540
5588,10718506,17,1271,505,17,30869,2924
5597,10719347,12,570,214,12,19274,865
5615,10719428,10,21326,865,10,2422,526
5617,10719433,9,10198,1355,9,1106,184
5653,10720403,16,431,231,16,1982,353
5656,10720411,18,12261,1173,18,15808,1575
5666,10720441,18,9412,833,18,24207,2498
5672,10720471,3,18690,1606,3,4530,149
5689,10721330,12,370,201,12,7193,1783
5701,10721413,8,11863,1288,8,2061,646
5703,10721415,3,7625,114,3,1878,784
5714,10721436,6,2925,117,6,441,285
5716,10721447,12,263,132,12,1327,436
5720,10721464,6,581,67,6,2167,627
5722,10721471,8,686,302,8,826,434
5736,10722301,13,1300,368,13,23322,1499
5741,10722349,9,391,181,9,5925,1373
5742,10722350,11,2885,666,11,32501,2461
5746,10722378,12,6960,693,12,25816,925
5762,10722434,11,4506,467,11,17592,2071
5778,10722499,13,5981,762,13,1069,437
5804,10723412,15,257,144,15,303,216
5820,10723477,13,1101,397,13,3476,888
5824,10723491,13,5334,675,13,30864,2625
5826,10723494,9,5352,529,9,1687,459
5843,10724370,16,4252,323,16,28863,2480
5844,10724371,11,335,178,11,862,739
5846,10724379,13,367,199,13,4889,664
5859,10724418,11,13150,1042,11,5267,1455
5870,10724442,10,1966,513,10,23340,2249
5871,10724446,16,4117,474,16,17462,1498
5873,10724473,9,536,265,9,1353,163
5923,10725479,20,986,341,20,16869,1756
5949,10726409,23,6105,539,23,895,489
5953,10726415,9,680,168,9,740,446
5955,10726421,10,8173,920,10,1334,362
5969,10726482,18,993,408,18,7336,1350
5982,10727350,12,682,274,12,20744,1664
5997,10727426,11,7366,973,11,3263,975
6012,10727473,6,12661,1291,6,1356,113
6013,10727476,7,2596,396,7,17937,1579
6020,10727498,12,753,234,12,651,505
6025,10728316,10,3770,409,10,436,192
6031,10728336,7,6148,195,7,1025,522
6051,10728425,8,473,241,8,6786,943
6066,10728496,11,16194,1282,11,3922,1114
6068,10728498,15,18211,1392,15,19318,2792
6085,10729379,20,16915,1564,20,5489,1024
6092,10729416,8,1744,512,8,15695,1434
6093,10729417,5,1625,381,5,3926,1057
6094,10729419,11,430,305,11,2256,437
6095,10729421,13,296,202,13,698,495
6106,10729468,21,716,216,21,24169,2602
6109,10729482,10,5219,369,10,23773,1800
6111,10729484,22,16356,1474,22,2257,861
6118,10729510,7,503,260,7,616,108
6120,10730316,13,4846,1051,13,917,676
6121,10730321,15,22057,2463,15,4779,870
6138,10730410,8,333,250,8,1102,812
6149,10730426,6,271,87,6,920,159
6153,10730436,19,3934,622,19,5306,1484
6161,10730496,13,781,268,13,24014,2695
6189,10731384,10,461,258,10,554,474
6208,10731485,6,7836,973,6,1112,704
6219,10732325,15,8270,1248,15,1209,450
6222,10732333,6,1604,344,6,31473,3033
6229,10732359,7,8426,1508,7,1803,927
6231,10732362,14,300,240,14,447,326
6243,10732439,8,7721,467,8,6224,920
6248,10732463,8,335,180,8,1043,477
6252,10732485,14,17085,1758,14,2546,699
6257,10733302,9,1275,304,9,20876,1421
6262,10733315,20,508,324,20,9917,1336
6270,10733344,21,8204,1437,21,1053,453
6273,10733355,10,124,131,10,1078,653
6284,10733386,13,240,152,13,862,250
6292,10733450,12,9340,1096,12,7241,1061
6310,10734329,8,263,176,8,7533,373
6328,10734408,10,15011,1673,10,2169,476
6332,10734422,8,7927,1346,8,18669,1947
6346,10734474,20,9394,735,20,1493,799
6347,10734478,8,20608,887,8,7870,802
6351,10734494,13,835,429,13,5269,993
6376,10735409,5,5665,156,5,721,456
6387,10735443,8,254,140,8,551,205
6403,10735508,10,6301,530,10,3468,667
6413,10736350,10,8550,644,10,2120,834
6414,10736352,14,881,295,14,22547,1909
6415,10736353,10,1591,440,10,2083,750
6425,10736411,14,618,256,14,11823,1790
6428,10736417,10,15517,1307,10,2235,567
6430,10736419,9,1147,390,9,17508,2013
6448,10736478,14,2761,1093,14,1162,619
6473,10737402,4,12701,202,4,2461,179
6485,10737429,15,9875,1028,15,18359,1649
6488,10737442,17,17490,1652,17,3319,875
6489,10737445,11,2377,310,11,399,312
6524,10738360,12,10160,886,12,1476,603
6576,10739424,9,746,387,9,18324,1946
6579,10739428,8,768,385,8,7090,1321
6583,10739455,14,2844,437,14,12906,1020
6589,10739477,12,922,261,12,28881,2086
6631,10740432,14,7124,1366,14,1431,377
6639,10740461,11,18096,958,11,3291,858
6648,10740497,18,1227,296,18,15450,2084
6652,10741305,14,104,93,14,940,319
6690,10741482,17,6702,611,17,3675,816
6717,10742416,12,6775,867,12,2157,672
6721,10742426,10,14838,1331,10,1704,679
6728,10742455,10,10062,1267,10,6371,993
6737,10742504,9,3900,667,9,2001,566
6742,10743308,5,53,38,5,942,640
6751,10743334,12,1020,282,12,30328,3916
6775,10743452,12,4252,561,12,19173,2433
6804,10744359,12,2961,532,12,31383,3021
6812,10744387,9,16086,1694,9,3780,451
6817,10744398,17,12934,1310,17,1615,680
6830,10745307,10,12050,760,10,1832,586
6855,10745376,16,3300,643,16,1064,638
6859,10745388,13,1538,217,13,28764,2045
6871,10745489,14,13939,1041,14,632,418
6878,10746311,8,18495,2235,8,3578,1216
6890,10746361,18,1222,546,18,11429,2323
6897,10746389,13,1635,371,13,4000,1308
6902,10746398,10,470,203,10,12757,974
6903,10746399,12,907,276,12,16362,1328
6907,10746453,12,19030,2210,12,6566,1045
6911,10746460,16,1301,336,16,2400,840
6914,10746472,6,9344,896,6,1214,331
6916,10746487,9,590,181,9,18254,1849
6928,10747333,15,203,158,15,940,621
6931,10747344,13,17333,1220,13,2065,638
