,sample_id,grn_n,grn_mean,grn_sd,red_n,red_mean,red_sd
88467,19631381,9,8542,663,9,2066,521
88480,19631449,10,579,354,10,1385,734
88481,19631451,6,12941,184,6,2583,516
88487,19631462,8,604,492,8,15217,4433
88495,19631503,19,14169,1415,19,2252,653
88499,19632306,6,11266,3226,6,1534,802
88501,19632310,10,4599,935,10,8982,1291
88549,19633301,7,9195,656,7,629,342
88567,19633406,23,2107,361,23,7374,1211
88572,19633422,12,1884,414,12,13665,1374
88576,19633430,7,2927,194,7,33105,1237
88578,19633440,13,7544,725,13,2420,555
88581,19633448,7,9818,397,7,6150,181
88644,19634501,10,898,253,10,28258,2577
88661,19635369,17,15383,1198,17,8156,959
88689,19636301,10,1850,358,10,25957,2959
88694,19636322,13,277,179,13,541,434
88702,19636352,9,1469,467,9,16145,2375
88708,19636406,9,729,217,9,1123,512
88741,19636491,19,4088,751,19,14326,1167
88758,19637365,9,151,134,9,515,343
88763,19637404,10,201,175,10,798,484
88767,19637410,14,11829,1730,14,1059,520
88786,19637455,10,7394,951,10,7349,1072
88816,19638359,9,11214,860,9,784,502
88817,19638360,14,994,333,14,25357,2657
88821,19638381,15,2248,706,15,11992,1961
88822,19638385,11,633,258,11,3444,876
88830,19638398,8,13000,1043,8,2791,689
88831,19638399,13,1214,364,13,20670,509
88841,19638463,8,9907,673,8,2275,592
88854,19639330,13,3843,578,13,820,434
88859,19639357,13,848,456,13,13366,1773
88865,19639406,7,1648,272,7,6643,693
88873,19639426,10,17878,2077,10,5500,1018
88881,19639448,6,587,170,6,4968,793
88892,19639493,12,9941,1586,12,1179,556
88894,19639497,7,12311,1486,7,3366,428
88897,19639510,12,1298,291,12,25748,2708
88913,19640402,17,1397,363,17,15492,1334
88930,19640436,15,1054,331,15,2222,851
88933,19640446,9,300,122,9,823,218
88942,19640502,14,596,178,14,13750,1692
88960,19641366,15,10287,1134,15,845,445
88961,19641371,10,1957,573,10,19816,2541
88966,19641404,11,564,204,11,14421,1406
88974,19641427,11,1395,406,11,23991,2646
88975,19641428,13,20060,2072,13,1626,777
88983,19641468,14,841,383,14,3496,760
88990,19641494,6,3430,182,6,22106,3197
89004,19642357,11,6427,756,11,17846,1136
89018,19642418,9,2367,287,9,23987,2872
89021,19642425,11,6918,505,11,3057,868
89029,19642445,12,17613,1564,12,13110,1722
89034,19642464,13,288,156,13,1067,457
89053,19643370,15,4775,556,15,2824,817
89058,19643403,15,440,201,15,12708,1598
89062,19643410,19,833,382,19,438,212
89096,19644352,14,515,316,14,1109,661
89103,19644405,15,488,227,15,9613,1222
89113,19644423,12,4321,967,12,866,440
89115,19644429,19,329,279,19,3445,788
89117,19644434,8,21108,1850,8,4551,526
89120,19644440,8,14521,559,8,1721,467
89141,19645345,12,4108,679,12,990,618
89168,19645433,13,4769,873,13,471,239
89192,19646321,13,1495,467,13,26465,3525
89205,19646405,16,5702,724,16,10219,1384
89216,19646424,12,2154,431,12,27734,2113
89220,19646436,14,417,303,14,3006,807
89230,19646488,13,287,287,13,830,438
89237,19647330,9,749,199,9,17888,1780
89254,19647429,12,285,169,12,626,318
89263,19647448,13,1129,263,13,8431,1036
89268,19647479,8,2385,437,8,881,625
89275,19647498,7,21836,986,7,7060,425
89298,19648404,22,2280,347,22,36961,2521
89300,19648407,9,16494,1558,9,1310,375
89307,19648424,7,559,341,7,10157,994
89315,19648447,16,11577,847,16,3800,1017
89321,19648483,16,11386,1066,16,1431,670
89333,19649322,11,2420,417,11,21652,1791
89363,19649468,17,12752,1037,17,1755,447
89387,19650406,18,258,125,18,431,302
