,bc1_grn,bc1_red,bc2,ext_a,ext_c,ext_g,ext_t,hyp_low,hyp_med,hyp_high,np_a,np_c,np_g,np_t,spec1_grn,spec1_red,spec2,st_grn,st_red,tr,missing,median_chrX,missing_chrY
7800246024_R05C01,2.0403450281379785,1.2170302281209124,17.980912402977985,53714.0,37992.0,39081.0,57309.0,9695.0,15932.0,34196.0,23088.0,16399.0,12934.0,26438.0,2.7200465937426057,0.7505739509124044,31.70102090422946,125.35573122529644,97.69331158238172,866.0,0.0013839205728442656,0.007262884503569175,0.0
7800246024_R02C01,2.2498539611424637,1.140591615204034,17.980912402977985,50634.0,29372.0,27289.0,54460.0,7340.0,11912.0,23683.0,20158.0,12427.0,9163.0,24235.0,3.2644018851649523,1.1767932839134785,45.17172523961662,110.33796296296296,115.91224489795918,587.0,0.0019440788999478971,0.007262884503569175,0.002403846153846154
7800246024_R01C01,2.1877181363965756,1.1571408309896671,17.980912402977985,53502.0,31348.0,30829.0,55870.0,8097.0,13597.0,27344.0,22466.0,14103.0,10899.0,26710.0,2.9679412580965328,0.9964765239505247,40.70168855534709,129.8370786516854,153.03591160220995,621.0,0.0018184551574724503,0.007262884503569175,0.004807692307692308
7800246024_R03C01,2.1145135380745916,1.1204599455112976,17.980912402977985,55140.0,35094.0,32791.0,57434.0,9244.0,14619.0,30543.0,22470.0,15459.0,12176.0,27749.0,3.0449617321648095,0.891387308312494,38.0117508813161,120.51769911504425,105.63432835820896,664.0,0.0017134254711405194,0.007262884503569175,0.002403846153846154
7800246024_R04C01,2.516764016305724,1.1192826001054612,17.980912402977985,47672.0,36091.0,33296.0,52572.0,8680.0,15024.0,32133.0,20088.0,14975.0,11176.0,24376.0,3.2651115468178684,1.0905161346525938,41.012921751615224,205.281045751634,126.96514161220044,474.0,0.0017360789328983869,0.007262884503569175,0.0
